episode,reward
100,0.004
200,-0.028
300,0.013
400,-0.019
500,0.031
600,0.009
700,0.013
800,0.013
900,0.013
1000,0.013
1100,0.013
1200,0.013
1300,0.013
1400,0.013
1500,0.013
1600,0.013
1700,0.013
1800,0.013
1900,0.013
2000,0.013
2100,0.013
2200,0.013
2300,0.013
2400,0.013
2500,0.013
2600,0.013
2700,0.013
2800,0.013
2900,0.013
3000,0.013
3100,0.013
3200,0.013
3300,0.013
3400,0.013
3500,0.013
3600,0.013
3700,0.013
3800,0.013
3900,0.013
4000,0.013
4100,0.013
4200,0.013
4300,0.013
4400,0.013
4500,0.013
4600,0.013
4700,0.013
4800,0.013
4900,0.013
5000,0.013
5100,0.013
5200,0.013
5300,0.013
5400,0.013
5500,0.013
5600,0.013
5700,0.013
5800,0.013
5900,0.013
6000,0.013
6100,0.013
6200,0.013
6300,0.013
6400,0.013
6500,0.013
6600,0.013
6700,0.013
6800,0.013
6900,0.013
7000,0.013
7100,0.013
7200,0.013
7300,0.013
7400,0.013
7500,0.013
7600,0.013
7700,0.013
7800,0.013
7900,0.013
8000,0.013
8100,0.013
8200,0.013
8300,0.013
8400,0.013
8500,0.013
8600,0.013
8700,0.013
8800,0.013
8900,0.013
9000,0.013
9100,0.013
9200,0.013
9300,0.013
9400,0.013
9500,0.013
9600,0.013
9700,0.013
9800,0.013
9900,0.013
10000,0.013
10100,0.013
10200,0.013
