episode,reward
100,0.038
200,0.017
300,-0.002
400,-0.024
500,0.041
600,-0.001
700,0.004
800,0.0
900,-0.011
1000,-0.009
1100,-0.005
1200,-0.058
1300,-0.007
1400,-0.011
1500,-0.009
1600,-0.02
1700,-0.024
1800,-0.031
1900,-0.002
2000,-0.013
2100,0.024
2200,0.007
2300,0.018
2400,-0.001
2500,0.042
2600,0.057
2700,0.058
2800,0.049
2900,0.036
3000,0.087
3100,-0.01
3200,0.044
3300,0.018
3400,0.021
3500,0.058
3600,0.058
3700,0.042
3800,0.029
3900,0.031
4000,0.051
4100,0.111
4200,0.04
4300,0.012
4400,0.047
4500,0.056
4600,0.049
4700,0.049
4800,0.054
4900,0.079
5000,0.065
5100,0.009
5200,0.055
5300,0.036
5400,0.036
5500,0.076
5600,0.048
5700,0.054
5800,0.077
5900,0.077
6000,0.077
6100,0.077
6200,0.077
6300,0.077
6400,0.077
6500,0.077
6600,0.077
6700,0.077
6800,0.077
6900,0.077
7000,0.077
7100,0.077
7200,0.077
7300,0.077
7400,0.077
7500,0.077
7600,0.077
7700,0.077
7800,0.077
7900,0.077
8000,0.077
8100,0.077
8200,0.077
8300,0.077
8400,0.077
8500,0.077
8600,0.077
8700,0.077
8800,0.077
8900,0.077
9000,0.077
9100,0.077
9200,0.077
9300,0.077
9400,0.077
9500,0.077
9600,0.077
9700,0.077
9800,0.077
9900,0.077
10000,0.077
10100,0.077
10200,0.077
10300,0.077
10400,0.077
10500,0.077
10600,0.077
10700,0.077
10800,0.077
10900,0.077
11000,0.077
11100,0.077
11200,0.077
11300,0.077
11400,0.077
11500,0.077
11600,0.077
11700,0.077
11800,0.077
11900,0.077
12000,0.077
12100,0.077
12200,0.077
12300,0.077
12400,0.077
12500,0.077
12600,0.077
12700,0.077
12800,0.077
12900,0.077
13000,0.077
13100,0.077
13200,0.077
13300,0.077
13400,0.077
13500,0.077
13600,0.077
13700,0.077
13800,0.077
13900,0.077
14000,0.077
14100,0.077
14200,0.077
14300,0.077
14400,0.077
14500,0.077
14600,0.077
14700,0.077
14800,0.077
14900,0.077
15000,0.077
15100,0.077
15200,0.077
15300,0.077
15400,0.077
15500,0.077
15600,0.077
15700,0.077
15800,0.077
15900,0.077
16000,0.077
16100,0.077
16200,0.077
16300,0.077
16400,0.077
16500,0.077
16600,0.077
16700,0.077
16800,0.077
16900,0.077
17000,0.077
17100,0.077
17200,0.077
17300,0.077
17400,0.077
17500,0.077
17600,0.077
17700,0.077
17800,0.077
17900,0.077
18000,0.077
18100,0.077
18200,0.077
18300,0.077
18400,0.077
18500,0.077
18600,0.077
18700,0.077
18800,0.077
18900,0.077
19000,0.077
19100,0.077
19200,0.077
19300,0.077
19400,0.077
19500,0.077
19600,0.077
19700,0.077
19800,0.077
19900,0.077
20000,0.077
20100,0.077
20200,0.077
20300,0.077
20400,0.077
20500,0.077
20600,0.077
20700,0.077
20800,0.077
20900,0.077
21000,0.077
21100,0.077
21200,0.077
21300,0.077
21400,0.077
21500,0.077
21600,0.077
21700,0.077
21800,0.077
21900,0.077
22000,0.077
22100,0.077
22200,0.077
22300,0.077
22400,0.077
22500,0.077
22600,0.077
22700,0.077
22800,0.077
22900,0.077
23000,0.077
23100,0.077
23200,0.077
23300,0.077
23400,0.077
23500,0.077
23600,0.077
23700,0.077
23800,0.077
23900,0.077
24000,0.077
24100,0.077
24200,0.077
24300,0.077
24400,0.077
24500,0.077
24600,0.077
24700,0.077
24800,0.077
24900,0.077
25000,0.077
25100,0.077
25200,0.077
25300,0.077
25400,0.077
25500,0.077
25600,0.077
25700,0.077
25800,0.077
25900,0.077
26000,0.077
26100,0.077
26200,0.077
26300,0.077
26400,0.077
26500,0.077
26600,0.077
26700,0.077
26800,0.077
26900,0.077
27000,0.077
27100,0.077
27200,0.077
27300,0.077
27400,0.077
27500,0.077
27600,0.077
27700,0.077
27800,0.077
27900,0.077
28000,0.077
28100,0.077
28200,0.077
28300,0.077
28400,0.077
28500,0.077
28600,0.077
28700,0.077
28800,0.077
28900,0.077
29000,0.077
29100,0.077
29200,0.077
29300,0.077
29400,0.077
29500,0.077
29600,0.077
29700,0.077
29800,0.077
29900,0.077
30000,0.077
30100,0.077
30200,0.077
30300,0.077
30400,0.077
30500,0.077
30600,0.077
30700,0.077
30800,0.077
30900,0.077
31000,0.077
31100,0.077
31200,0.077
31300,0.077
31400,0.077
31500,0.077
31600,0.077
31700,0.077
31800,0.077
31900,0.077
32000,0.077
32100,0.077
32200,0.077
32300,0.077
32400,0.077
32500,0.077
32600,0.077
32700,0.077
32800,0.077
32900,0.077
33000,0.077
33100,0.077
33200,0.077
33300,0.077
33400,0.077
33500,0.077
33600,0.077
33700,0.077
33800,0.077
33900,0.077
34000,0.077
34100,0.077
34200,0.077
34300,0.077
34400,0.077
34500,0.077
34600,0.077
34700,0.077
34800,0.077
34900,0.077
35000,0.077
35100,0.077
35200,0.077
35300,0.077
35400,0.077
35500,0.077
35600,0.077
35700,0.077
35800,0.077
35900,0.077
36000,0.077
36100,0.077
36200,0.077
36300,0.077
36400,0.077
36500,0.077
36600,0.077
36700,0.077
36800,0.077
36900,0.077
37000,0.077
37100,0.077
37200,0.077
37300,0.077
37400,0.077
37500,0.077
37600,0.077
37700,0.077
37800,0.077
37900,0.077
38000,0.077
38100,0.077
38200,0.077
38300,0.077
38400,0.077
38500,0.077
38600,0.077
38700,0.077
38800,0.077
38900,0.077
39000,0.077
39100,0.077
39200,0.077
39300,0.077
39400,0.077
39500,0.077
39600,0.077
39700,0.077
39800,0.077
39900,0.077
40000,0.077
40100,0.077
40200,0.077
40300,0.077
40400,0.077
40500,0.077
40600,0.077
40700,0.077
40800,0.077
40900,0.077
41000,0.077
41100,0.077
41200,0.077
41300,0.077
41400,0.077
41500,0.077
41600,0.077
41700,0.077
41800,0.077
41900,0.077
42000,0.077
42100,0.077
42200,0.077
42300,0.077
42400,0.077
42500,0.077
42600,0.077
42700,0.077
42800,0.077
42900,0.077
43000,0.077
43100,0.077
43200,0.077
43300,0.077
43400,0.077
43500,0.077
43600,0.077
43700,0.077
43800,0.077
43900,0.077
44000,0.077
44100,0.077
44200,0.077
44300,0.077
44400,0.077
44500,0.077
44600,0.077
44700,0.077
44800,0.077
44900,0.077
45000,0.077
45100,0.077
45200,0.077
45300,0.077
45400,0.077
45500,0.077
45600,0.077
45700,0.077
45800,0.077
45900,0.077
46000,0.077
46100,0.077
46200,0.077
46300,0.077
46400,0.077
46500,0.077
46600,0.077
46700,0.077
46800,0.077
46900,0.077
47000,0.077
47100,0.077
47200,0.077
47300,0.077
47400,0.077
47500,0.077
47600,0.077
47700,0.077
47800,0.077
47900,0.077
48000,0.077
48100,0.077
48200,0.077
48300,0.077
48400,0.077
48500,0.077
48600,0.077
48700,0.077
48800,0.077
48900,0.077
49000,0.077
49100,0.077
49200,0.077
49300,0.077
49400,0.077
49500,0.077
49600,0.077
49700,0.077
49800,0.077
49900,0.077
50000,0.077
50100,0.077
50200,0.077
50300,0.077
50400,0.077
50500,0.077
50600,0.077
50700,0.077
50800,0.077
50900,0.077
51000,0.077
51100,0.077
51200,0.077
51300,0.077
51400,0.077
51500,0.077
51600,0.077
51700,0.077
51800,0.077
51900,0.077
52000,0.077
52100,0.077
52200,0.077
52300,0.077
52400,0.077
52500,0.077
52600,0.077
52700,0.077
52800,0.077
52900,0.077
53000,0.077
53100,0.077
53200,0.077
53300,0.077
53400,0.077
53500,0.077
53600,0.077
53700,0.077
53800,0.077
53900,0.077
54000,0.077
54100,0.077
54200,0.077
54300,0.077
54400,0.077
54500,0.077
54600,0.077
54700,0.077
54800,0.077
54900,0.077
55000,0.077
55100,0.077
55200,0.077
55300,0.077
55400,0.077
55500,0.077
55600,0.077
55700,0.077
55800,0.077
55900,0.077
56000,0.077
56100,0.077
56200,0.077
56300,0.077
56400,0.077
56500,0.077
56600,0.077
56700,0.077
56800,0.077
56900,0.077
57000,0.077
57100,0.077
57200,0.077
57300,0.077
57400,0.077
57500,0.077
57600,0.077
57700,0.077
57800,0.077
57900,0.077
58000,0.077
58100,0.077
58200,0.077
58300,0.077
58400,0.077
58500,0.077
58600,0.077
58700,0.077
58800,0.077
58900,0.077
59000,0.077
59100,0.077
59200,0.077
59300,0.077
59400,0.077
59500,0.077
59600,0.077
59700,0.077
59800,0.077
59900,0.077
60000,0.077
60100,0.077
60200,0.077
60300,0.077
60400,0.077
60500,0.077
60600,0.077
60700,0.077
60800,0.077
60900,0.077
61000,0.077
61100,0.077
61200,0.077
61300,0.077
61400,0.077
61500,0.077
61600,0.077
61700,0.077
61800,0.077
61900,0.077
62000,0.077
62100,0.077
62200,0.077
62300,0.077
62400,0.077
62500,0.077
62600,0.077
62700,0.077
62800,0.077
62900,0.077
63000,0.077
63100,0.077
63200,0.077
63300,0.077
63400,0.077
63500,0.077
63600,0.077
63700,0.077
63800,0.077
63900,0.077
64000,0.077
64100,0.077
64200,0.077
64300,0.077
64400,0.077
64500,0.077
64600,0.077
64700,0.077
64800,0.077
64900,0.077
65000,0.077
65100,0.077
65200,0.077
65300,0.077
65400,0.077
65500,0.077
65600,0.077
65700,0.077
65800,0.077
65900,0.077
66000,0.077
66100,0.077
66200,0.077
66300,0.077
66400,0.077
66500,0.077
66600,0.077
66700,0.077
66800,0.077
66900,0.077
67000,0.077
67100,0.077
67200,0.077
67300,0.077
67400,0.077
67500,0.077
67600,0.077
67700,0.077
67800,0.077
67900,0.077
68000,0.077
68100,0.077
68200,0.077
68300,0.077
68400,0.077
68500,0.077
68600,0.077
68700,0.077
68800,0.077
68900,0.077
69000,0.077
69100,0.077
69200,0.077
69300,0.077
69400,0.077
69500,0.077
69600,0.077
69700,0.077
69800,0.077
69900,0.077
70000,0.077
70100,0.077
70200,0.077
70300,0.077
70400,0.077
70500,0.077
70600,0.077
70700,0.077
70800,0.077
70900,0.077
71000,0.077
71100,0.077
71200,0.077
71300,0.077
71400,0.077
71500,0.077
71600,0.077
71700,0.077
71800,0.077
71900,0.077
72000,0.077
72100,0.077
72200,0.077
72300,0.077
72400,0.077
72500,0.077
72600,0.077
72700,0.077
72800,0.077
72900,0.077
73000,0.077
73100,0.077
73200,0.077
73300,0.077
73400,0.077
