episode,reward
0,0.008
200,-0.016
400,0.028
600,-0.026
800,0.05
1000,0.006
1200,0.0
1400,0.02
1600,-0.082
1800,0.062
2000,0.008
2200,0.032
2400,-0.074
2600,0.046
2800,0.042
3000,-0.02
3200,0.072
3400,0.06
3600,0.034
3800,0.046
4000,0.056
4200,0.022
4400,-0.034
4600,0.046
4800,0.066
5000,-0.034
5200,0.02
5400,0.104
5600,0.008
5800,0.01
6000,0.02
6200,0.032
6400,0.018
6600,-0.012
6800,0.022
7000,-0.002
7200,0.066
7400,0.048
7600,0.03
7800,0.048
8000,-0.004
8200,0.104
8400,0.056
8600,-0.034
8800,-0.016
9000,0.004
9200,0.03
9400,-0.002
9600,0.022
9800,0.05
