episode,reward
0,0.048
200,0.018
400,0.028
600,0.03
800,0.054
1000,0.022
1200,0.02
1400,0.004
1600,0.016
1800,-0.012
2000,0.04
2200,-0.02
2400,0.008
2600,0.058
2800,-0.022
3000,0.038
3200,0.0
3400,0.026
3600,0.006
3800,0.016
4000,0.036
4200,0.044
4400,-0.052
4600,0.036
4800,-0.008
5000,-0.03
5200,-0.002
5400,-0.008
5600,0.046
5800,0.018
6000,0.038
6200,0.002
6400,0.024
6600,0.034
6800,0.036
7000,-0.016
7200,0.044
7400,-0.014
7600,-0.036
7800,-0.028
8000,0.044
8200,0.032
8400,-0.04
8600,0.028
8800,0.006
9000,-0.032
9200,-0.048
9400,0.066
9600,-0.036
9800,0.026
10000,0.034
10200,-0.004
10400,0.008
10600,0.01
10800,0.038
11000,0.038
11200,-0.02
11400,0.034
11600,0.054
11800,0.044
12000,0.002
12200,0.04
12400,0.044
12600,0.0
12800,0.002
13000,0.074
13200,0.02
13400,-0.02
13600,0.086
13800,-0.006
14000,-0.022
14200,0.026
14400,-0.002
14600,0.032
14800,0.068
15000,0.022
15200,0.066
15400,0.05
15600,-0.002
15800,0.042
16000,0.022
16200,0.062
16400,0.064
16600,0.022
16800,0.03
17000,0.042
17200,0.082
17400,0.054
17600,0.0
17800,0.04
18000,0.068
18200,0.076
18400,0.038
18600,0.032
18800,0.058
19000,0.014
19200,0.042
19400,0.074
19600,0.022
19800,0.066
20000,-0.062
20200,0.052
20400,0.042
20600,0.086
20800,0.058
21000,0.062
21200,0.092
21400,0.106
21600,0.07
21800,0.126
22000,0.102
22200,0.146
22400,0.042
22600,0.108
22800,0.02
23000,0.056
23200,0.106
23400,0.13
23600,0.088
23800,0.056
24000,0.112
24200,0.09
24400,0.052
24600,0.074
24800,0.068
25000,0.074
25200,0.092
25400,0.112
25600,0.134
25800,0.122
26000,0.068
26200,0.09
26400,0.1
26600,0.126
26800,0.112
27000,0.07
27200,0.056
27400,0.086
27600,0.048
27800,0.096
28000,0.074
28200,0.11
28400,0.096
28600,0.068
28800,0.082
29000,0.074
29200,0.11
29400,0.096
29600,0.028
29800,0.106
30000,0.078
30200,0.114
30400,0.082
30600,0.086
30800,0.058
31000,0.028
31200,0.094
31400,0.092
31600,0.03
31800,0.106
32000,0.088
32200,0.062
32400,0.076
32600,0.14
32800,0.094
33000,0.108
33200,0.062
33400,0.104
33600,0.108
33800,0.096
34000,0.148
34200,0.082
34400,0.06
34600,0.114
34800,0.072
35000,0.116
35200,0.112
35400,0.086
35600,0.108
35800,0.118
36000,0.086
36200,0.116
36400,0.08
36600,0.152
36800,0.094
37000,0.1
37200,0.094
37400,0.176
37600,0.086
37800,0.116
38000,0.172
38200,0.11
38400,0.122
38600,0.136
38800,0.114
39000,0.116
39200,0.126
39400,0.1
39600,0.112
39800,0.16
40000,0.14
40200,0.118
40400,0.116
40600,0.132
40800,0.156
41000,0.176
41200,0.174
41400,0.116
41600,0.08
41800,0.06
42000,0.134
42200,0.138
42400,0.108
42600,0.12
42800,0.11
43000,0.064
43200,0.13
43400,0.148
43600,0.094
43800,0.106
44000,0.122
44200,0.152
44400,0.1
44600,0.126
44800,0.122
45000,0.098
45200,0.064
45400,0.084
45600,0.074
45800,0.196
46000,0.088
46200,0.254
46400,0.126
46600,0.16
46800,0.118
47000,0.118
47200,0.124
47400,0.02
47600,0.114
47800,0.144
48000,0.158
48200,0.138
48400,0.15
48600,0.12
48800,0.178
49000,0.094
49200,0.136
49400,0.104
49600,0.134
49800,0.082
50000,0.118
50200,0.138
50400,0.2
50600,0.09
50800,0.18
51000,0.144
51200,0.186
51400,0.146
51600,0.11
51800,0.114
52000,0.164
52200,0.162
52400,0.102
52600,0.146
52800,0.124
53000,0.14
53200,0.082
53400,0.102
53600,0.042
53800,0.084
54000,0.068
54200,0.118
54400,0.098
54600,0.16
54800,0.128
55000,0.096
55200,0.194
55400,0.074
55600,0.114
55800,0.162
56000,0.142
56200,0.098
56400,0.122
56600,0.15
56800,0.11
57000,0.142
57200,0.226
57400,0.056
57600,0.108
57800,0.094
58000,0.172
58200,0.096
58400,0.098
58600,0.092
58800,0.19
59000,0.068
59200,0.146
59400,0.184
59600,0.106
59800,0.13
60000,0.112
60200,0.168
60400,0.114
60600,0.152
60800,0.142
61000,0.106
61200,0.134
61400,0.138
61600,0.108
61800,0.156
62000,0.102
62200,0.144
62400,0.06
62600,0.164
62800,0.146
63000,0.118
63200,0.124
63400,0.084
63600,0.132
63800,0.15
64000,0.094
64200,0.15
64400,0.13
64600,0.122
64800,0.184
65000,0.16
65200,0.128
65400,0.118
65600,0.078
65800,0.138
66000,0.152
66200,0.114
66400,0.164
66600,0.102
66800,0.122
67000,0.126
67200,0.138
67400,0.13
67600,0.128
67800,0.144
68000,0.162
68200,0.19
68400,0.074
68600,0.142
68800,0.14
69000,0.142
69200,0.238
69400,0.116
69600,0.166
69800,0.156
70000,0.17
70200,0.178
70400,0.15
70600,0.144
70800,0.118
71000,0.126
71200,0.134
71400,0.184
71600,0.14
71800,0.098
72000,0.192
72200,0.132
72400,0.164
72600,0.14
72800,0.112
73000,0.086
73200,0.134
73400,0.116
73600,0.108
73800,0.066
74000,0.186
74200,0.17
74400,0.108
74600,0.116
74800,0.158
75000,0.06
75200,0.148
75400,0.152
75600,0.136
75800,0.088
76000,0.106
76200,0.162
76400,0.138
76600,0.128
76800,0.09
77000,0.172
77200,0.158
77400,0.104
77600,0.118
77800,0.116
78000,0.132
78200,0.082
78400,0.088
78600,0.162
78800,0.148
79000,0.126
79200,0.042
79400,0.172
79600,0.08
79800,0.132
80000,0.08
80200,0.102
80400,0.182
80600,0.118
80800,0.136
81000,0.104
81200,0.136
81400,0.138
81600,0.104
81800,0.104
82000,0.092
82200,0.144
82400,0.128
82600,0.154
82800,0.13
83000,0.144
83200,0.09
83400,0.144
83600,0.128
83800,0.088
84000,0.17
84200,0.056
84400,0.114
84600,0.054
84800,0.13
85000,0.092
85200,0.126
85400,0.122
85600,0.084
85800,0.092
86000,0.1
86200,0.118
86400,0.14
86600,0.138
86800,0.104
87000,0.102
87200,0.1
87400,0.05
87600,0.194
87800,0.104
88000,0.11
88200,0.146
88400,0.178
88600,0.14
88800,0.112
89000,0.186
89200,0.12
89400,0.122
89600,0.098
89800,0.136
90000,0.098
90200,0.11
90400,0.188
90600,0.174
90800,0.228
91000,0.13
91200,0.152
91400,0.098
91600,0.12
91800,0.126
92000,0.146
92200,0.112
92400,0.178
92600,0.09
92800,0.118
93000,0.134
93200,0.182
93400,0.176
93600,0.14
93800,0.118
94000,0.184
94200,0.13
94400,0.12
94600,0.144
94800,0.168
95000,0.148
95200,0.112
95400,0.118
95600,0.114
95800,0.176
96000,0.144
96200,0.092
96400,0.128
96600,0.116
96800,0.114
97000,0.184
97200,0.132
97400,0.09
97600,0.12
97800,0.096
98000,0.096
98200,0.114
98400,0.122
98600,0.062
98800,0.188
99000,0.166
99200,0.03
99400,0.104
99600,0.124
99800,0.114
