episode,reward
0,-0.04
200,-0.02
400,-0.026
600,-0.036
800,-0.004
1000,0.002
1200,0.038
1400,0.0
1600,0.016
1800,0.026
2000,0.044
2200,-0.028
2400,0.048
2600,0.004
2800,0.028
3000,0.018
3200,-0.008
3400,0.018
3600,0.008
3800,0.086
4000,0.036
4200,0.034
4400,0.088
4600,0.026
4800,0.024
5000,0.016
5200,0.04
5400,0.036
5600,0.082
5800,0.032
6000,0.034
6200,-0.004
6400,0.062
6600,0.032
6800,0.074
7000,0.076
7200,0.024
7400,0.026
7600,-0.01
7800,0.006
8000,0.004
8200,0.0
8400,0.02
8600,0.042
8800,0.134
9000,0.01
9200,-0.032
9400,0.052
9600,-0.032
9800,-0.004
10000,-0.004
10200,0.01
10400,-0.032
10600,0.01
10800,0.024
11000,0.058
11200,-0.022
11400,-0.028
11600,0.014
11800,0.032
12000,0.066
12200,0.078
12400,0.044
12600,-0.052
12800,0.084
13000,0.066
13200,-0.004
13400,0.0
13600,0.022
13800,0.056
14000,0.048
14200,0.068
14400,0.04
14600,0.036
14800,0.022
15000,0.038
15200,0.034
15400,0.038
15600,0.064
15800,0.032
16000,0.06
16200,0.036
16400,-0.028
16600,0.07
16800,0.046
17000,0.056
17200,0.088
17400,0.062
17600,0.058
17800,0.012
18000,0.008
18200,0.052
18400,0.002
18600,0.06
18800,-0.004
19000,0.056
19200,0.016
19400,0.044
19600,0.052
19800,0.058
20000,0.034
20200,0.05
20400,0.044
20600,0.03
20800,0.04
21000,0.094
21200,0.03
21400,0.012
21600,0.062
21800,0.062
22000,0.088
22200,0.022
22400,0.058
22600,0.146
22800,0.076
23000,0.088
23200,0.074
23400,0.112
23600,0.078
23800,0.052
24000,0.13
24200,0.13
24400,0.068
24600,0.024
24800,0.098
25000,0.06
25200,0.11
25400,0.078
25600,0.076
25800,0.076
26000,0.074
26200,0.09
26400,0.058
26600,0.04
26800,0.07
27000,0.09
27200,0.03
27400,0.08
27600,0.114
27800,0.082
28000,0.092
28200,0.088
28400,0.1
28600,0.116
28800,0.134
29000,0.108
29200,0.136
29400,0.126
29600,0.128
29800,0.108
30000,0.156
30200,0.098
30400,0.126
30600,0.054
30800,0.082
31000,0.03
31200,0.066
31400,0.084
31600,0.034
31800,0.118
32000,0.036
32200,0.114
32400,0.142
32600,0.088
32800,0.124
33000,0.08
33200,0.146
33400,0.102
33600,0.054
33800,0.112
34000,0.106
34200,0.054
34400,0.168
34600,0.176
34800,0.124
35000,0.082
35200,0.144
35400,0.084
35600,0.094
35800,0.13
36000,0.126
36200,0.12
36400,0.144
