episode,reward
0,0.0
200,0.02
400,-0.008
600,0.058
800,-0.014
1000,0.028
1200,-0.03
1400,-0.03
1600,0.024
1800,-0.062
2000,0.034
2200,0.012
2400,-0.01
2600,-0.008
2800,0.022
3000,-0.048
3200,-0.046
3400,0.026
3600,0.006
3800,-0.036
4000,0.006
4200,-0.05
4400,0.044
4600,0.012
4800,0.06
5000,-0.018
5200,0.01
5400,0.08
5600,0.026
5800,0.012
6000,0.026
6200,-0.032
6400,0.004
6600,0.008
6800,-0.04
7000,-0.016
7200,-0.006
7400,0.098
7600,-0.024
7800,0.022
8000,-0.034
8200,-0.046
8400,0.02
8600,-0.026
8800,0.034
9000,0.02
9200,-0.038
9400,-0.018
9600,0.008
9800,0.036
