episode,reward
0,-0.034
200,0.03
400,0.012
600,0.006
800,0.002
1000,-0.02
1200,0.044
1400,0.078
1600,0.002
1800,0.026
2000,-0.028
2200,-0.014
2400,-0.026
2600,0.026
2800,0.052
3000,-0.032
3200,-0.012
3400,0.02
3600,-0.052
3800,0.036
4000,0.044
4200,-0.004
4400,0.03
4600,0.004
4800,-0.046
5000,-0.006
5200,-0.042
5400,-0.034
5600,0.024
5800,0.028
6000,-0.042
6200,-0.03
6400,0.044
6600,0.016
6800,0.048
7000,0.046
7200,-0.052
7400,0.08
7600,-0.014
7800,0.012
8000,-0.04
8200,-0.006
8400,0.01
8600,0.028
8800,0.018
9000,-0.022
9200,0.08
9400,-0.002
9600,0.006
9800,0.03
10000,-0.046
10200,-0.006
10400,0.032
10600,-0.02
10800,0.09
11000,-0.026
11200,-0.004
11400,-0.01
11600,0.022
11800,0.022
12000,0.026
12200,0.036
12400,-0.068
12600,0.004
12800,0.076
13000,-0.03
13200,-0.032
13400,0.02
13600,0.026
13800,-0.012
14000,0.044
14200,-0.024
14400,-0.014
14600,0.01
14800,0.046
15000,-0.03
15200,-0.004
15400,0.058
15600,-0.028
15800,0.044
16000,0.014
16200,0.01
16400,-0.06
16600,0.012
16800,-0.004
17000,0.072
17200,-0.014
17400,0.032
17600,-0.016
17800,-0.012
18000,-0.01
18200,-0.018
18400,-0.054
18600,0.062
18800,0.036
19000,0.062
19200,0.016
19400,0.02
19600,-0.044
19800,-0.002
20000,0.04
20200,-0.034
20400,0.004
20600,-0.046
20800,0.006
21000,0.012
21200,-0.056
21400,-0.024
21600,0.042
21800,0.022
22000,0.018
22200,0.036
22400,0.024
22600,-0.044
22800,0.06
23000,0.01
23200,-0.018
23400,-0.016
23600,0.02
23800,-0.024
24000,-0.01
24200,0.042
24400,-0.042
24600,-0.006
24800,-0.042
25000,0.03
25200,0.012
25400,-0.022
25600,0.018
25800,0.004
26000,0.004
26200,0.014
26400,-0.024
26600,0.038
26800,0.006
27000,-0.028
27200,-0.012
27400,0.062
27600,-0.046
27800,0.014
28000,-0.008
28200,0.046
28400,0.048
28600,0.008
28800,0.002
29000,-0.008
29200,-0.028
29400,0.0
29600,0.052
29800,0.038
30000,-0.02
30200,-0.018
30400,-0.04
30600,-0.082
30800,-0.058
31000,-0.002
31200,0.054
31400,0.002
31600,-0.01
31800,-0.034
32000,0.076
32200,0.036
32400,0.006
32600,-0.072
32800,0.046
33000,0.014
33200,0.046
33400,0.004
33600,0.058
33800,0.0
34000,0.034
34200,0.062
34400,-0.004
34600,0.026
34800,-0.028
35000,-0.024
35200,-0.032
35400,-0.01
35600,0.006
35800,-0.006
36000,0.01
36200,-0.026
36400,0.062
36600,0.066
36800,-0.028
37000,-0.02
37200,0.034
37400,-0.002
37600,-0.026
37800,0.022
38000,0.058
38200,0.012
38400,0.056
38600,0.024
38800,0.03
39000,0.056
39200,-0.02
39400,0.022
39600,-0.01
39800,0.03
40000,-0.006
40200,-0.006
40400,-0.012
40600,-0.008
40800,-0.006
41000,0.082
41200,0.012
41400,0.04
41600,0.064
41800,0.044
42000,0.028
42200,0.012
42400,-0.016
42600,-0.028
42800,0.052
43000,0.018
43200,0.042
43400,0.012
43600,0.002
43800,0.052
44000,0.004
44200,-0.008
44400,-0.022
44600,-0.01
44800,0.024
45000,-0.052
45200,0.004
45400,0.082
45600,0.044
45800,0.032
46000,-0.064
46200,0.034
46400,0.0
46600,-0.008
46800,0.01
47000,0.028
47200,0.03
47400,0.016
47600,-0.004
47800,0.022
48000,0.018
48200,0.046
48400,0.006
48600,0.04
48800,0.038
49000,-0.032
49200,-0.002
49400,0.032
49600,-0.044
49800,0.01
50000,0.038
50200,0.006
50400,0.022
50600,-0.022
50800,-0.022
51000,0.02
51200,0.026
51400,-0.07
51600,0.002
51800,-0.016
52000,0.046
52200,-0.046
52400,0.042
52600,0.03
52800,-0.066
53000,0.004
53200,0.024
53400,-0.004
53600,-0.012
53800,0.058
54000,0.014
54200,0.016
54400,0.018
54600,0.062
54800,-0.024
55000,0.034
55200,0.01
55400,0.004
55600,0.006
55800,0.03
56000,-0.024
56200,-0.004
56400,0.044
56600,-0.008
56800,-0.03
57000,-0.02
57200,-0.012
57400,0.004
57600,0.058
57800,0.06
58000,0.008
58200,-0.046
58400,-0.02
58600,-0.018
58800,-0.018
59000,-0.018
59200,0.016
59400,-0.01
59600,-0.022
59800,0.028
60000,-0.01
60200,-0.002
60400,0.022
60600,-0.002
60800,-0.04
61000,0.008
61200,0.058
61400,0.066
61600,0.01
61800,0.012
62000,-0.01
62200,-0.006
62400,-0.022
62600,0.038
62800,-0.024
63000,0.05
63200,0.024
63400,0.014
63600,0.046
63800,0.018
64000,0.012
64200,0.052
64400,0.03
64600,0.044
64800,-0.012
65000,0.006
65200,0.002
65400,0.058
65600,0.056
65800,-0.016
66000,0.008
66200,-0.008
66400,0.014
66600,-0.018
66800,0.008
67000,0.002
67200,-0.028
67400,-0.028
67600,0.02
67800,0.038
68000,-0.004
68200,-0.006
68400,0.036
68600,0.038
68800,0.032
69000,0.01
69200,0.072
69400,-0.004
69600,0.028
69800,0.018
70000,0.008
70200,-0.028
70400,0.0
70600,0.068
70800,0.01
71000,-0.018
71200,0.014
71400,-0.014
71600,0.012
71800,0.036
72000,0.044
72200,-0.006
72400,-0.016
72600,0.03
72800,-0.034
73000,0.03
73200,0.03
73400,0.032
73600,-0.01
73800,0.044
74000,0.0
74200,0.014
74400,-0.01
74600,0.004
74800,0.0
75000,0.042
75200,0.024
75400,0.028
75600,0.016
75800,0.048
76000,-0.028
76200,0.004
76400,0.024
76600,-0.024
76800,0.006
77000,0.058
77200,0.048
77400,0.036
77600,0.014
77800,0.012
78000,-0.032
78200,0.008
78400,0.0
78600,0.006
78800,0.028
79000,0.014
79200,-0.016
79400,0.026
79600,-0.012
79800,0.036
80000,0.044
80200,0.02
80400,0.032
80600,0.03
80800,0.068
81000,-0.008
81200,0.022
81400,0.038
81600,0.014
81800,0.024
82000,0.018
82200,-0.014
82400,-0.022
82600,0.066
82800,0.02
83000,0.058
83200,0.036
83400,0.012
83600,0.0
83800,0.012
84000,-0.054
84200,0.0
84400,0.022
84600,0.014
84800,-0.002
85000,0.004
85200,-0.014
85400,0.036
85600,0.006
85800,0.0
86000,0.024
86200,0.016
86400,0.082
86600,0.002
86800,0.056
87000,0.028
87200,-0.028
87400,0.006
87600,0.018
87800,-0.016
88000,-0.016
88200,0.006
88400,0.016
88600,0.0
88800,0.018
89000,-0.012
89200,0.042
89400,0.018
89600,0.036
89800,0.006
90000,0.054
90200,0.044
90400,0.004
90600,0.014
90800,0.012
91000,0.008
91200,0.018
91400,0.012
91600,0.044
91800,0.008
92000,-0.004
92200,0.028
92400,0.054
92600,0.03
92800,0.026
93000,0.044
93200,0.026
93400,0.058
93600,-0.02
93800,0.042
94000,0.016
94200,-0.006
94400,-0.06
94600,-0.056
94800,-0.042
95000,0.014
95200,0.004
95400,0.046
95600,0.0
95800,0.022
96000,0.01
96200,0.036
96400,-0.054
96600,0.0
96800,-0.014
97000,0.018
97200,-0.008
97400,0.016
97600,-0.018
97800,-0.024
98000,-0.022
98200,0.046
98400,-0.01
98600,-0.026
98800,-0.03
99000,-0.008
99200,0.014
99400,0.028
99600,0.002
99800,-0.004
