episode,reward
0,-0.026
200,-0.048
400,0.01
600,-0.008
800,-0.006
1000,0.062
1200,-0.042
1400,-0.03
1600,0.016
1800,0.008
2000,0.006
2200,-0.014
2400,-0.016
2600,0.074
2800,-0.008
3000,0.03
3200,-0.064
3400,0.014
3600,0.044
3800,0.018
4000,0.048
4200,0.02
4400,0.024
4600,-0.03
4800,0.0
5000,-0.022
5200,0.024
5400,0.038
5600,-0.056
5800,0.006
6000,0.022
6200,-0.034
6400,0.038
6600,0.018
6800,-0.01
7000,-0.004
7200,0.01
7400,0.036
7600,0.03
7800,0.022
8000,0.002
8200,0.026
8400,0.058
8600,0.014
8800,0.006
9000,-0.032
9200,0.01
9400,0.068
9600,-0.018
9800,0.02
10000,0.002
10200,0.058
10400,0.078
10600,0.018
10800,0.012
11000,0.03
11200,0.012
11400,0.048
11600,0.02
11800,0.054
12000,-0.028
12200,0.024
12400,0.0
12600,0.072
12800,0.044
13000,0.07
13200,-0.028
13400,0.016
13600,-0.006
13800,0.02
14000,0.014
14200,0.014
14400,-0.024
14600,0.008
14800,0.006
15000,0.016
15200,-0.02
15400,-0.054
15600,-0.01
15800,-0.044
16000,0.026
16200,0.012
16400,-0.026
16600,-0.006
16800,-0.038
17000,0.016
17200,-0.046
17400,0.018
17600,-0.016
17800,-0.054
18000,-0.01
18200,-0.022
18400,0.02
18600,0.014
18800,0.008
19000,-0.042
19200,-0.056
19400,-0.008
19600,0.0
19800,0.048
20000,0.026
20200,-0.02
20400,0.006
20600,0.032
20800,0.044
21000,0.0
21200,-0.008
21400,0.024
21600,-0.05
21800,0.038
22000,0.064
22200,0.016
22400,-0.03
22600,0.016
22800,0.042
23000,0.0
23200,0.034
23400,0.012
23600,-0.014
23800,0.022
24000,0.004
24200,-0.002
24400,-0.038
24600,0.086
24800,-0.056
25000,-0.056
25200,-0.024
25400,0.034
25600,-0.016
25800,0.028
26000,-0.016
26200,-0.016
26400,-0.018
26600,0.006
26800,-0.008
27000,-0.076
27200,-0.004
27400,0.024
27600,-0.026
27800,-0.024
28000,0.016
28200,0.056
28400,0.038
28600,-0.004
28800,0.016
29000,0.006
29200,0.018
29400,0.064
29600,0.026
29800,0.038
30000,-0.042
30200,0.002
30400,0.052
30600,0.016
30800,-0.034
31000,0.012
31200,0.03
31400,-0.006
31600,0.038
31800,0.0
32000,0.016
32200,0.024
32400,0.016
32600,-0.012
32800,0.028
33000,0.018
33200,-0.034
33400,0.018
33600,0.04
33800,0.002
34000,-0.066
34200,0.006
34400,-0.006
34600,0.054
34800,0.022
35000,-0.038
35200,0.012
35400,0.028
35600,0.002
35800,0.034
36000,-0.016
36200,0.018
36400,-0.02
36600,0.086
36800,0.006
37000,-0.014
37200,0.04
37400,0.032
37600,0.012
37800,0.012
38000,0.03
38200,-0.018
38400,-0.008
38600,0.028
38800,-0.014
39000,0.058
39200,0.03
39400,0.01
39600,0.036
39800,-0.01
40000,0.06
40200,0.024
40400,0.028
40600,0.05
40800,0.0
41000,-0.004
41200,0.022
41400,-0.01
41600,0.024
41800,0.022
42000,0.032
42200,-0.016
42400,0.034
42600,0.04
42800,0.042
43000,-0.012
43200,0.03
43400,-0.012
43600,0.058
43800,0.064
44000,0.032
44200,0.01
44400,-0.01
44600,-0.01
44800,0.026
45000,0.022
45200,-0.004
45400,0.012
45600,0.016
45800,0.018
46000,0.038
46200,-0.008
46400,-0.018
46600,-0.024
46800,-0.022
47000,0.008
47200,0.038
47400,-0.002
47600,0.018
47800,-0.01
48000,-0.038
48200,0.074
48400,0.024
48600,-0.022
48800,0.058
49000,0.006
49200,0.036
49400,0.0
49600,0.016
49800,-0.034
50000,-0.044
50200,-0.016
50400,0.024
50600,-0.006
50800,0.018
51000,-0.036
51200,0.044
51400,0.006
51600,0.016
51800,0.012
52000,0.098
52200,0.048
52400,-0.038
52600,0.008
52800,0.044
53000,0.028
53200,0.06
53400,0.028
53600,-0.022
53800,-0.006
54000,0.012
54200,0.056
54400,-0.008
54600,-0.008
54800,0.054
55000,-0.014
55200,-0.028
55400,-0.004
55600,0.016
55800,-0.014
56000,0.004
56200,0.006
56400,0.052
56600,-0.012
56800,-0.018
57000,-0.01
57200,0.044
57400,-0.006
57600,0.062
57800,-0.004
58000,-0.014
58200,-0.004
58400,0.056
58600,0.01
58800,0.022
59000,0.014
59200,0.028
59400,0.074
59600,-0.014
59800,0.018
60000,0.036
60200,-0.012
60400,0.004
60600,-0.03
60800,0.036
61000,-0.018
61200,0.006
61400,0.022
61600,0.018
61800,0.054
62000,0.002
62200,-0.034
62400,0.012
62600,0.01
62800,0.032
63000,0.048
63200,-0.03
63400,0.036
63600,-0.018
63800,0.042
64000,0.008
64200,0.1
64400,0.048
64600,0.016
64800,0.018
65000,0.024
65200,-0.032
65400,0.044
65600,0.044
65800,0.068
66000,-0.04
66200,0.026
66400,0.008
66600,0.002
66800,0.02
67000,-0.02
67200,0.014
67400,0.024
67600,0.012
67800,-0.016
68000,-0.02
68200,0.02
68400,-0.048
68600,-0.01
68800,-0.018
69000,-0.002
69200,0.014
69400,0.04
69600,0.012
69800,0.054
70000,-0.01
70200,0.014
70400,0.004
70600,-0.016
70800,-0.012
71000,-0.002
71200,-0.032
71400,0.006
71600,-0.002
71800,0.028
72000,0.048
72200,-0.034
72400,0.026
72600,0.02
72800,-0.026
73000,-0.03
73200,0.054
73400,0.034
73600,0.076
73800,0.03
74000,0.072
74200,0.034
74400,-0.012
74600,0.016
74800,0.008
75000,0.014
75200,-0.048
75400,0.046
75600,0.022
75800,0.018
76000,-0.024
76200,-0.032
76400,0.052
76600,-0.002
76800,0.022
77000,0.058
77200,0.022
77400,0.028
77600,0.004
77800,0.042
78000,0.0
78200,0.058
78400,-0.02
78600,0.014
78800,0.06
79000,0.04
79200,0.018
79400,0.04
79600,0.03
79800,0.022
80000,0.026
80200,-0.01
80400,0.004
80600,-0.016
80800,0.03
81000,0.01
81200,0.026
81400,-0.02
81600,-0.004
81800,0.026
82000,0.042
82200,0.026
82400,0.024
82600,-0.06
82800,0.022
83000,-0.028
83200,0.046
83400,0.054
83600,0.004
83800,0.03
84000,-0.004
84200,0.004
84400,0.006
84600,-0.006
84800,0.018
85000,-0.01
85200,0.078
85400,0.07
85600,0.048
85800,0.022
86000,-0.036
86200,0.03
86400,0.056
86600,0.018
86800,0.006
87000,-0.004
87200,0.018
87400,0.096
87600,0.06
87800,-0.016
88000,-0.002
88200,0.004
88400,0.026
88600,0.008
88800,0.062
89000,0.004
89200,0.026
89400,0.004
89600,-0.04
89800,-0.044
90000,-0.022
90200,0.012
90400,0.048
90600,-0.034
90800,0.032
91000,0.03
91200,0.046
91400,-0.016
91600,-0.028
91800,0.0
92000,0.032
92200,0.082
92400,0.088
92600,0.022
92800,0.074
93000,-0.01
93200,0.038
93400,0.012
93600,-0.01
93800,0.0
94000,0.012
94200,-0.026
94400,-0.002
94600,-0.012
94800,-0.05
95000,0.048
95200,-0.046
95400,0.044
95600,0.004
95800,0.0
96000,0.038
96200,-0.032
96400,0.016
96600,0.004
96800,-0.03
97000,0.024
97200,0.024
97400,0.036
97600,0.072
97800,0.044
98000,0.014
98200,0.03
98400,-0.002
98600,0.004
98800,0.044
99000,-0.002
99200,0.032
99400,0.078
99600,0.024
99800,-0.006
