,P1,P2,P1 Score,P2 Score
0,Rule Model,DQN,-0.0104,0.0104
1,Random,DMC,-0.0304,0.0304
2,DMC,NFSP,0.0644,-0.0644
3,DQN,DQN,0.0316,-0.0316
4,DQN,DMC,0.1142,-0.1142
5,DQN,Random,0.1182,-0.1182
6,DQN,Random,0.1302,-0.1302
7,Rule Model,Rule Model,0.002,-0.002
8,DQN,DMC,0.0848,-0.0848
9,DMC,DMC,0.0082,-0.0082
10,DMC,Random,0.072,-0.072
11,DMC,Rule Model,-0.0114,0.0114
12,NFSP,DQN,-0.109,0.109
13,NFSP,NFSP,-0.0058,0.0058
14,NFSP,Rule Model,-0.0848,0.0848
15,NFSP,Rule Model,-0.0918,0.0918
16,Rule Model,DMC,0.0798,-0.0798
17,Rule Model,DMC,0.049,-0.049
18,NFSP,Rule Model,-0.0918,0.0918
19,NFSP,Rule Model,-0.0916,0.0916
20,NFSP,NFSP,-0.0058,0.0058
21,NFSP,DQN,-0.1014,0.1014
22,NFSP,NFSP,0.0172,-0.0172
23,Random,DQN,-0.1228,0.1228
24,DQN,NFSP,0.1506,-0.1506
25,DMC,DMC,0.028,-0.028
26,DQN,DMC,0.0866,-0.0866
27,Rule Model,Rule Model,0.002,-0.002
28,DQN,Random,0.149,-0.149
29,DQN,Random,0.1182,-0.1182
30,DQN,DMC,0.1106,-0.1106
31,DQN,DQN,0.0354,-0.0354
32,DMC,NFSP,0.0686,-0.0686
33,Random,DMC,-0.0178,0.0178
34,Rule Model,DQN,-0.0104,0.0104
35,DMC,NFSP,0.0684,-0.0684
36,NFSP,Rule Model,-0.0918,0.0918
37,DMC,Rule Model,0.0,0.0
38,DMC,NFSP,0.0534,-0.0534
39,Random,Rule Model,-0.0966,0.0966
40,NFSP,DQN,-0.0916,0.0916
41,Rule Model,DQN,-0.0038,0.0038
42,Random,Random,0.0212,-0.0212
43,Random,NFSP,0.009,-0.009
44,DQN,NFSP,0.121,-0.121
45,Random,DMC,-0.0096,0.0096
46,DQN,DQN,0.0354,-0.0354
47,DQN,DMC,0.116,-0.116
48,DQN,Random,0.134,-0.134
49,Rule Model,Rule Model,0.002,-0.002
50,DQN,Random,0.1484,-0.1484
51,DQN,NFSP,0.1348,-0.1348
52,DMC,DMC,0.0286,-0.0286
53,Random,DQN,-0.113,0.113
54,DMC,DQN,-0.059,0.059
55,DMC,Random,0.0434,-0.0434
56,Rule Model,Random,0.0842,-0.0842
57,DMC,Rule Model,-0.0374,0.0374
58,NFSP,NFSP,-0.0058,0.0058
59,NFSP,Rule Model,-0.0918,0.0918
60,NFSP,Rule Model,-0.0766,0.0766
61,DQN,DQN,0.0048,-0.0048
62,Rule Model,DMC,0.0698,-0.0698
63,Rule Model,DMC,0.0584,-0.0584
64,DQN,DQN,0.0048,-0.0048
65,NFSP,Rule Model,-0.063,0.063
66,NFSP,Rule Model,-0.0918,0.0918
67,NFSP,NFSP,-0.0058,0.0058
68,DMC,Rule Model,-0.0196,0.0196
69,DMC,Random,0.0396,-0.0396
70,DMC,DQN,-0.0726,0.0726
71,Random,DQN,-0.1218,0.1218
72,DQN,DMC,0.0896,-0.0896
73,DMC,DMC,0.0304,-0.0304
74,DMC,DMC,0.0232,-0.0232
75,DQN,NFSP,0.1408,-0.1408
76,DQN,Random,0.1502,-0.1502
77,Rule Model,Rule Model,0.002,-0.002
78,DQN,DMC,0.1126,-0.1126
79,DQN,DQN,0.0438,-0.0438
80,DQN,NFSP,0.121,-0.121
81,DMC,NFSP,0.0662,-0.0662
82,Random,Random,0.0212,-0.0212
83,NFSP,DQN,-0.0916,0.0916
84,Random,Rule Model,-0.0966,0.0966
85,DMC,NFSP,0.0574,-0.0574
86,DQN,NFSP,0.1402,-0.1402
87,NFSP,NFSP,0.019,-0.019
88,DMC,NFSP,0.047,-0.047
89,DMC,NFSP,0.0734,-0.0734
90,Random,DMC,-0.0204,0.0204
91,Rule Model,DMC,0.056,-0.056
92,NFSP,NFSP,0.008,-0.008
93,DQN,Random,0.1182,-0.1182
94,DQN,DMC,0.1118,-0.1118
95,DQN,DQN,0.014,-0.014
96,DMC,DMC,0.03,-0.03
97,DQN,DMC,0.08,-0.08
98,Rule Model,Rule Model,0.015,-0.015
99,DQN,Random,0.148,-0.148
100,NFSP,DMC,-0.0628,0.0628
101,DMC,Rule Model,-0.0254,0.0254
102,DMC,Random,0.0602,-0.0602
103,DQN,Rule Model,0.0234,-0.0234
104,DMC,DQN,-0.0656,0.0656
105,NFSP,NFSP,0.0126,-0.0126
106,NFSP,Rule Model,-0.0918,0.0918
107,NFSP,Rule Model,-0.0926,0.0926
108,NFSP,NFSP,0.0004,-0.0004
109,Rule Model,DMC,0.0746,-0.0746
110,Rule Model,DMC,0.0768,-0.0768
111,DQN,DQN,0.0328,-0.0328
112,NFSP,Rule Model,-0.0918,0.0918
113,DQN,Rule Model,0.0234,-0.0234
114,DMC,Random,0.0482,-0.0482
115,DMC,Rule Model,-0.03,0.03
116,NFSP,DMC,-0.0516,0.0516
117,DQN,Random,0.1536,-0.1536
118,Random,DQN,-0.1244,0.1244
119,DQN,DMC,0.082,-0.082
120,DMC,Rule Model,-0.038,0.038
121,DMC,DMC,0.009,-0.009
122,DQN,DQN,0.0386,-0.0386
123,Rule Model,DQN,-0.0104,0.0104
124,DQN,DMC,0.0982,-0.0982
125,DQN,Random,0.1182,-0.1182
126,Rule Model,DMC,0.0528,-0.0528
127,Random,DMC,-0.0234,0.0234
128,DMC,NFSP,0.0636,-0.0636
129,NFSP,NFSP,0.0306,-0.0306
130,DMC,NFSP,0.0844,-0.0844
131,DMC,NFSP,0.0526,-0.0526
132,Random,DMC,-0.04,0.04
133,NFSP,NFSP,-0.0012,0.0012
134,DMC,NFSP,0.0628,-0.0628
135,NFSP,DMC,-0.0296,0.0296
136,Rule Model,DQN,-0.0404,0.0404
137,DQN,Random,0.1182,-0.1182
138,DQN,DMC,0.091,-0.091
139,DQN,DMC,0.0802,-0.0802
140,Rule Model,Rule Model,0.002,-0.002
141,DQN,NFSP,0.136,-0.136
142,DMC,Rule Model,-0.0264,0.0264
143,DMC,Random,0.0596,-0.0596
144,DMC,DMC,-0.0016,0.0016
145,DQN,DMC,0.0472,-0.0472
146,NFSP,NFSP,-0.0058,0.0058
147,NFSP,Rule Model,-0.069,0.069
148,NFSP,Rule Model,-0.0686,0.0686
149,DMC,DQN,-0.0734,0.0734
150,NFSP,NFSP,0.0188,-0.0188
151,Rule Model,DMC,0.0606,-0.0606
152,DQN,DQN,0.0238,-0.0238
153,DQN,DQN,0.0128,-0.0128
154,NFSP,NFSP,-0.0002,0.0002
155,DMC,DQN,-0.0714,0.0714
156,NFSP,Rule Model,-0.0626,0.0626
157,NFSP,NFSP,-0.0058,0.0058
158,DQN,DMC,0.0612,-0.0612
159,DMC,DMC,-0.0046,0.0046
160,DMC,Random,0.0708,-0.0708
161,DMC,Rule Model,-0.0168,0.0168
162,Rule Model,Rule Model,0.002,-0.002
163,DQN,Random,0.1392,-0.1392
164,DMC,DMC,0.0026,-0.0026
165,DQN,DMC,0.0794,-0.0794
166,DQN,DQN,0.0202,-0.0202
167,DQN,Random,0.1182,-0.1182
168,Rule Model,DQN,-0.0162,0.0162
169,DQN,DQN,-0.02,0.02
170,NFSP,DMC,-0.0496,0.0496
171,NFSP,NFSP,0.005,-0.005
172,DMC,NFSP,0.0746,-0.0746
173,Random,DMC,-0.0508,0.0508
174,DMC,NFSP,0.0654,-0.0654
175,NFSP,NFSP,-0.0058,0.0058
176,Rule Model,Random,0.0842,-0.0842
177,DQN,NFSP,0.1202,-0.1202
178,Random,NFSP,0.0128,-0.0128
179,NFSP,Random,0.011,-0.011
180,DMC,NFSP,0.0834,-0.0834
181,DQN,DMC,0.0676,-0.0676
182,NFSP,DMC,-0.0354,0.0354
183,DMC,DMC,0.0132,-0.0132
184,DMC,DMC,0.0328,-0.0328
185,DMC,DQN,-0.0472,0.0472
186,NFSP,Random,0.014,-0.014
187,NFSP,DMC,-0.0198,0.0198
188,DMC,DQN,-0.0402,0.0402
189,NFSP,DQN,-0.1056,0.1056
190,DMC,DQN,-0.0592,0.0592
191,NFSP,DQN,-0.1156,0.1156
192,NFSP,DMC,-0.0278,0.0278
193,NFSP,Random,0.014,-0.014
194,DMC,DQN,-0.0474,0.0474
195,DMC,DMC,0.0182,-0.0182
196,NFSP,DMC,-0.0288,0.0288
197,DQN,DMC,0.0976,-0.0976
198,DMC,NFSP,0.0726,-0.0726
199,NFSP,Random,0.0078,-0.0078
200,DQN,NFSP,0.0998,-0.0998
201,Rule Model,Random,0.0842,-0.0842
202,NFSP,DQN,-0.1126,0.1126
203,DMC,NFSP,0.0504,-0.0504
204,NFSP,DQN,-0.1122,0.1122
205,Rule Model,Random,0.0842,-0.0842
206,DQN,NFSP,0.121,-0.121
207,DQN,NFSP,0.1352,-0.1352
208,NFSP,Random,-0.0032,0.0032
209,Random,NFSP,0.0208,-0.0208
210,DMC,Random,0.0886,-0.0886
211,DMC,NFSP,0.0656,-0.0656
212,NFSP,DQN,-0.101,0.101
213,DQN,DMC,0.089,-0.089
214,Random,DQN,-0.1228,0.1228
215,DMC,DQN,-0.0444,0.0444
216,NFSP,Random,0.014,-0.014
217,Rule Model,NFSP,0.0846,-0.0846
218,NFSP,DMC,-0.0322,0.0322
219,Random,Random,0.0212,-0.0212
220,NFSP,DQN,-0.107,0.107
221,DMC,DQN,-0.0602,0.0602
222,NFSP,DQN,-0.1308,0.1308
223,DMC,DQN,-0.0672,0.0672
